
        k                     x_k                           f(x_k)                          e_k               
        0                 -0.50000000                   1.09375000e+01                 3.57142857e-01         
        0                  0.00000000                  -2.00000000e+00                 1.42857143e-01         
        2                 -0.07729469                  -1.03041423e+00                 6.55624569e-02         
        3                 -0.15943857                   2.94970605e-01                 1.65814309e-02         
        4                 -0.14115707                  -2.94152582e-02                 1.70007621e-03         
        5                 -0.14281483                  -7.33937836e-04                 4.23120704e-05         
        6                 -0.14285725                   1.89294227e-06                 1.09122537e-07         
        7                 -0.14285714                  -1.21369702e-10                 6.99659775e-12         

