
        k                     a_k                            b_k                            x_k                           f(x_k)                          e_k               
       00                 -1.00000000                     0.00000000                    -1.00000000                    6.00000000e+1                 8.57142857e-01         
       01                 -1.00000000                     0.00000000                    -0.50000000                    1.09375000e+1                 3.57142857e-01         
       02                 -0.50000000                     0.00000000                    -0.25000000                    2.19140625e+0                 1.07142857e-01         
       03                 -0.25000000                     0.00000000                    -0.12500000                   -3.01513672e-1                 1.78571429e-02         
       04                 -0.25000000                    -0.12500000                    -0.18750000                    8.28933716e-1                 4.46428571e-02         
       05                 -0.18750000                    -0.12500000                    -0.15625000                    2.37095833e-1                 1.33928571e-02         
       06                 -0.15625000                    -0.12500000                    -0.14062500                   -3.85901332e-2                 2.23214286e-03         
       07                 -0.15625000                    -0.14062500                    -0.14843750                    9.76246782e-2                 5.58035714e-03         
       08                 -0.14843750                    -0.14062500                    -0.14453125                    2.91144114e-2                 1.67410714e-03         
       09                 -0.14453125                    -0.14062500                    -0.14257812                   -4.83805982e-3                 2.79017857e-04         
       10                 -0.14453125                    -0.14257812                    -0.14355469                    1.21130618e-2                 6.97544643e-04         
       11                 -0.14355469                    -0.14257812                    -0.14306641                    3.63123056e-3                 2.09263393e-04         
       12                 -0.14306641                    -0.14257812                    -0.14282227                   -6.04981237e-4                 3.48772321e-05         
       13                 -0.14306641                    -0.14282227                    -0.14294434                    1.51273288e-3                 8.71930804e-05         
       14                 -0.14294434                    -0.14282227                    -0.14288330                    4.53777894e-4                 2.61579241e-05         
       15                 -0.14288330                    -0.14282227                    -0.14285278                   -7.56261517e-5                 4.35965402e-06         
       16                 -0.14288330                    -0.14285278                    -0.14286804                    1.89069751e-4                 1.08991350e-05         
       17                 -0.14286804                    -0.14285278                    -0.14286041                    5.67202695e-5                 3.26974051e-06         
       18                 -0.14286041                    -0.14285278                    -0.14285660                   -9.45332361e-6                 5.44956752e-07         
       19                 -0.14286041                    -0.14285660                    -0.14285851                    2.36333773e-5                 1.36239188e-06         
       20                 -0.14285851                    -0.14285660                    -0.14285755                    7.09000295e-6                 4.08717564e-07         

